Code	Language (Script)
aar-Latn	Afar
amh-Ethi	Amharic
ara-Arab	Literary Arabic
ben-Beng	Bengali
cat-Latn	Catalan
ceb-Latn	Cebuano
ckb-Arab	Sorani
deu-Latn-nar	German (more phonetic)
fas-Arab	Farsi (Perso-Arabic)
fra-Latn	French
hau-Latn	Hausa
hin-Deva	Hindi
hun-Latn	Hungarian
ilo-Latn	Ilocano
ind-Latn	Indonesian
ita-Latn	Italian
jav-Latn	Javanese
kaz-Cyrl	Kazakh (Cyrillic)
kin-Latn	Kinyarwanda
kir-Cyrl	Kyrgyz (Cyrillic)
kmr-Latn	Kurmanji
lao-Laoo	Lao
mar-Deva	Marathi
mlt-Latn	Maltese
mya-Mymr	Burmese
msa-Latn	Malay
nld-Latn	Dutch
nya-Latn	Chichewa
orm-Latn	Oromo
pan-Guru	Punjabi (Eastern)
pol-Latn	Polish
por-Latn	Portuguese
ron-Latn	Romanian
rus-Cyrl	Russian
sna-Latn	Shona
som-Latn	Somali
spa-Latn	Spanish
swa-Latn	Swahili
swe-Latn	Swedish
tam-Taml	Tamil
tel-Telu	Telugu
tgk-Cyrl	Tajik
tgl-Latn	Tagalog
tha-Thai	Thai
tir-Ethi	Tigrinya
tpi-Latn	Tok Pisin
tuk-Latn	Turkmen (Latin)
tur-Latn	Turkish (Latin)
ukr-Cyrl	Ukranian
uig-Arab	Uyghur (Perso-Arabic)
vie-Latn	Vietnamese
xho-Latn	Xhosa
yor-Latn	Yoruba
zul-Latn	Zulu
